,Name,Price,Battery,Processor,Ram,Rom,Rare
0,Samsung Galaxy A30s ,15999.0,4000,2,4,128,25
1,Samsung Galaxy A30s ,15990.0,4000,2,4,128,25
2,Vivo S1 Pro ,19990.0,4500,73,8,128,48
3,Realme X2 ,16999.0,4000,83,4,64,64
4,Realme X2 ,18999.0,4000,83,6,128,64
5,Realme X2 ,19999.0,4000,83,8,128,64
6,OPPO A9 2020 ,18490.0,5000,48,8,128,48
7,Vivo V17 ,22990.0,4500,77,8,128,48
8,Tecno Spark Power ,10000.0,6000,37,4,64,13
9,Tecno Spark Power ,11999.0,6000,37,4,64,13
10,OPPO A9 2020 ,18990.0,5000,48,4,128,48
11,Vivo Z1x ,14990.0,4500,80,4,128,48
12,Realme X2 Pro ,29999.0,4000,88,8,128,64
13,Realme X2 Pro ,33999.0,4000,88,12,256,64
14,Realme X2 Pro ,34999.0,4000,88,12,256,64
15,Realme X2 Pro ,27999.0,4000,88,6,64,64
16,Vivo Y19 ,13990.0,5000,11,4,128,16
17,OnePlus 7T Pro ,51978.0,4085,93,8,256,48
18,Samsung Galaxy A20s ,13999.0,4000,44,4,64,13
19,Samsung Galaxy A70s ,25999.0,4500,49,6,128,64
20,Samsung Galaxy M30s ,15485.0,6000,7,4,64,48
21,Samsung Galaxy A70s ,27999.0,4500,49,8,128,64
22,Vivo U10 ,10990.0,5000,72,4,64,13
23,Vivo V17Pro ,27990.0,4100,74,8,128,48
24,Samsung Galaxy M30s ,15169.0,6000,7,4,64,48
25,Samsung Galaxy M30s ,15460.0,6000,7,4,64,48
26,OPPO Reno2 F ,23990.0,4000,24,8,128,48
27,Vivo S1 ,17990.0,4500,10,6,64,16
28,Vivo S1 ,17800.0,4500,10,6,64,16
29,OPPO A5 2020 ,12990.0,5000,73,4,64,12
30,OPPO A9 2020 ,15990.0,5000,48,4,128,48
31,OPPO Reno2 Z ,25990.0,4000,31,8,256,48
32,Redmi K20 Pro ,24999.0,4000,89,6,128,48
33,Vivo Z1x ,16990.0,4500,80,6,128,48
34,Mi A3 ,14890.0,4030,73,6,128,48
35,Realme 5 Pro ,16999.0,4035,91,8,128,48
36,Mi A3 ,12499.0,4030,73,4,64,48
37,Realme 5 Pro ,13999.0,4035,91,4,64,48
38,Realme 5 Pro ,14999.0,4035,91,6,64,48
39,Vivo Z1x ,15990.0,4500,80,6,64,48
40,Lenovo K10 Plus ,10999.0,4050,45,4,1024,13
41,Samsung Galaxy A50s ,20999.0,4000,7,6,128,48
42,Redmi K20 ,19999.0,4000,81,6,64,48
43,OPPO Reno2 ,36990.0,4000,83,8,256,48
44,Realme XT ,15999.0,4000,39,4,64,64
45,Samsung Galaxy A50s ,18999.0,4000,7,4,128,48
46,Realme XT ,16999.0,4000,39,6,64,64
47,Realme XT ,18999.0,4000,39,8,128,64
48,Redmi K20 ,22999.0,4000,81,6,128,48
49,Mi A3 ,11999.0,4030,73,4,64,48
50,Samsung Galaxy A30s ,14999.0,4000,2,4,64,25
51,Asus ROG Phone II ,37999.0,6000,88,8,128,48
52,Nubia Redmagic 3S ,35999.0,5000,88,8,128,48
53,Redmi K20 Pro ,27999.0,4000,89,8,256,48
54,Nubia Redmagic 3S ,47999.0,5000,88,12,256,48
55,Mi A3 ,14899.0,4030,73,6,128,48
56,Samsung Galaxy A50s ,17999.0,4000,7,4,128,48
57,Samsung Galaxy A50s ,18999.0,4000,7,4,128,48
58,Samsung Galaxy A50s ,19999.0,4000,7,6,128,48
59,Mi A3 ,15445.0,4030,73,6,128,48
60,Realme 5 ,10999.0,5000,71,4,128,12
61,Samsung Galaxy A80 ,39990.0,3700,82,8,128,48
62,Moto G8 Plus ,13999.0,4000,73,4,64,48
63,Redmi Note 7 Pro ,12999.0,4000,75,6,64,48
64,OPPO A9 ,15490.0,4020,23,4,128,16
65,Vivo S1 ,15990.0,4500,10,4,128,16
66,Vivo S1 ,17990.0,4500,10,6,128,16
67,Realme X ,16999.0,3765,78,4,128,48
68,Redmi Note 7 Pro ,14999.0,4000,75,6,128,48
69,Realme X ,19999.0,3765,78,8,128,48
70,OPPO F11 ,17990.0,4020,23,6,128,48
71,OPPO F11 ,22990.0,4020,23,6,128,48
72,Lenovo Z6 Pro ,29999.0,4000,47,8,128,48
73,Samsung Galaxy A30 ,13990.0,4000,2,4,64,16
74,Vivo Y12 ,12490.0,5000,28,4,32,13
75,Nubia Red Magic 3 ,32999.0,5000,89,8,128,48
76,Vivo Z1Pro ,12990.0,5000,79,4,64,16
77,Vivo Z1Pro ,15990.0,5000,79,6,128,16
78,Nubia Red Magic 3 ,35999.0,5000,89,8,128,48
79,Vivo Z1Pro ,13990.0,5000,79,6,64,16
80,Vivo Y12 ,12399.0,5000,28,4,32,13
81,Huawei Y9 Prime 2019 ,15990.0,4000,12,4,128,16
82,OPPO A5s ,10990.0,4230,22,4,64,13
83,Lenovo K10 Note ,11999.0,4050,46,6,128,16
84,OPPO Reno 10x Zoom ,49990.0,4065,87,8,256,48
85,OPPO Reno 10x Zoom ,51990.0,4065,87,8,256,48
86,Asus 6Z ,30999.0,5000,42,6,1024,48
87,Vivo V15 Pro ,26990.0,3700,76,8,128,48
88,OPPO Reno 10x Zoom ,36990.0,4065,87,6,128,48
89,Vivo V15 Pro ,21499.0,3700,76,8,128,48
